id,tapahtumaAika,vuosi,kuukausi,x,y,kunta,kuntaNimi,maakunta,maakuntaNimi,tielaji,tielajis,tieNumero,tieYllapito,tieYllapitoNimi,riistalaji,riistalajiNimi
78,2017-11-01T06:15:00.000+02:00,2017,11,433658.677,6700112.972,638,Porvoo,01,Uusimaa,1,Moottoritie,7,1,Valtio,47629,Valkohäntäpeura
79,2017-10-31T08:05:00.000+02:00,2017,10,429674.069,6699872.826,638,Porvoo,01,Uusimaa,5,Seututie,170,1,Valtio,47629,Valkohäntäpeura
80,2017-04-15T17:00:00.000+03:00,2017,04,645631.058,6864063.28,260,Kitee,12,Pohjois-Karjala,3,Valtatie,6,1,Valtio,47507,Metsäkauris
81,2017-11-02T10:55:00.000+02:00,2017,11,396765.98,6693238.713,245,Kerava,01,Uusimaa,5,Seututie,140,1,Valtio,47507,Metsäkauris
82,2017-07-25T01:20:00.000+03:00,2017,07,370108.048,7041166.066,074,Halsua,16,Keski-Pohjanmaa,5,Seututie,751,1,Valtio,200556,Metsäpeura
83,2017-05-16T18:00:00.000+03:00,2017,05,257132.671,6793358.034,271,Kokemäki,04,Satakunta,9,Yksityinen tie,,3,Yksityinen,47507,Metsäkauris
84,2017-11-03T10:19:38.511+02:00,2017,11,393806.551,6709287.407,186,Järvenpää,01,Uusimaa,8,Kunnan tie,,2,Kunta,47503,Hirvi
85,2017-11-02T18:15:00.000+02:00,2017,11,389384.177,6710237.745,858,Tuusula,01,Uusimaa,6,Muu maantie,11509,1,Valtio,47629,Valkohäntäpeura
86,2017-05-17T18:00:00.000+03:00,2017,05,249667.963,6798615.559,271,Kokemäki,04,Satakunta,9,Yksityinen tie,,3,Yksityinen,47629,Valkohäntäpeura
87,2017-11-08T07:15:00.000+02:00,2017,11,388620.92,6709320.239,858,Tuusula,01,Uusimaa,6,Muu maantie,11509,1,Valtio,47629,Valkohäntäpeura
88,2017-12-13T23:00:00.000+02:00,2017,12,391642.766,6694490.4,858,Tuusula,01,Uusimaa,6,Muu maantie,81466,99,Ei tietoa,47507,Metsäkauris
89,2017-07-04T13:00:00.000+03:00,2017,07,253572.391,6795966.781,271,Kokemäki,04,Satakunta,3,Valtatie,2,1,Valtio,47503,Hirvi
90,2017-04-08T08:00:00.000+03:00,2017,04,442131.846,7089415.415,317,Kärsämäki,17,Pohjois-Pohjanmaa,3,Valtatie,4,1,Valtio,47629,Valkohäntäpeura
91,2017-07-28T18:00:00.000+03:00,2017,07,253564.168,6795973.528,271,Kokemäki,04,Satakunta,3,Valtatie,2,1,Valtio,47503,Hirvi
92,2017-07-29T19:00:00.000+03:00,2017,07,244166.542,6802377.557,271,Kokemäki,04,Satakunta,3,Valtatie,2,1,Valtio,47629,Valkohäntäpeura
93,2017-09-20T06:20:00.000+03:00,2017,09,441571.905,6697320.779,638,Porvoo,01,Uusimaa,6,Muu maantie,1571,1,Valtio,47629,Valkohäntäpeura
94,2017-08-07T19:00:00.000+03:00,2017,08,246358.314,6800796.523,271,Kokemäki,04,Satakunta,3,Valtatie,2,1,Valtio,47507,Metsäkauris
95,2017-08-15T07:00:00.000+03:00,2017,08,251391.888,6805000.305,271,Kokemäki,04,Satakunta,6,Muu maantie,2470,1,Valtio,47507,Metsäkauris
96,2017-11-22T19:00:00.000+02:00,2017,11,429897.852,7196588.649,244,Kempele,17,Pohjois-Pohjanmaa,5,Seututie,847,1,Valtio,47507,Metsäkauris
97,2017-09-09T20:00:00.000+03:00,2017,09,244174.705,6802371.686,271,Kokemäki,04,Satakunta,3,Valtatie,2,1,Valtio,47629,Valkohäntäpeura
98,2017-12-27T16:30:00.000+02:00,2017,12,321341.386,7062700.243,288,Kruunupyy,15,Pohjanmaa,5,Seututie,747,1,Valtio,47503,Hirvi
99,2017-07-22T19:00:00.000+03:00,2017,07,366729.914,7075959.22,849,Toholampi,16,Keski-Pohjanmaa,9,Yksityinen tie,,3,Yksityinen,47507,Metsäkauris
100,2017-07-18T20:30:00.000+03:00,2017,07,313168.595,6661878.944,710,Raasepori,01,Uusimaa,3,Valtatie,25,1,Valtio,47629,Valkohäntäpeura
101,2017-07-20T18:30:00.000+03:00,2017,07,312473.737,6663353.694,710,Raasepori,01,Uusimaa,5,Seututie,111,1,Valtio,47507,Metsäkauris
102,2017-02-07T00:15:00.000+02:00,2017,02,428913.313,6886302.526,500,Muurame,13,Keski-Suomi,3,Valtatie,9,1,Valtio,47503,Hirvi
103,2017-03-14T20:21:00.000+02:00,2017,03,419429.314,6867804.216,179,Jyväskylä,13,Keski-Suomi,6,Muu maantie,16591,1,Valtio,47503,Hirvi
104,2017-07-21T18:20:00.000+03:00,2017,07,318583.567,6664583.019,710,Raasepori,01,Uusimaa,9,Yksityinen tie,,99,Ei tietoa,47629,Valkohäntäpeura
105,2017-03-14T20:54:00.000+02:00,2017,03,424417.15,6880104.349,179,Jyväskylä,13,Keski-Suomi,5,Seututie,607,1,Valtio,47503,Hirvi
106,2017-07-21T19:00:00.000+03:00,2017,07,321552.344,6667888.996,710,Raasepori,01,Uusimaa,3,Valtatie,25,1,Valtio,47629,Valkohäntäpeura
107,2017-09-02T23:00:00.000+03:00,2017,09,480973.343,6864729.695,213,Kangasniemi,10,Etelä-Savo,6,Muu maantie,15229,1,Valtio,47503,Hirvi
108,2017-05-17T09:05:56.607+03:00,2017,05,414522.462,6870726.645,179,Jyväskylä,13,Keski-Suomi,9,Yksityinen tie,,3,Yksityinen,47503,Hirvi
109,2017-07-22T20:00:00.000+03:00,2017,07,322693.03,6663173.109,710,Raasepori,01,Uusimaa,4,Kantatie,51,1,Valtio,47629,Valkohäntäpeura
110,2017-09-14T10:00:00.000+03:00,2017,09,483527.63,6863106.083,213,Kangasniemi,10,Etelä-Savo,6,Muu maantie,15227,1,Valtio,47503,Hirvi
111,2017-07-23T20:15:00.000+03:00,2017,07,318045.486,6664632.463,710,Raasepori,01,Uusimaa,4,Kantatie,51,1,Valtio,47629,Valkohäntäpeura
112,2017-08-13T17:30:00.000+03:00,2017,08,320028.691,6664174.767,710,Raasepori,01,Uusimaa,4,Kantatie,51,1,Valtio,47629,Valkohäntäpeura
113,2017-08-15T16:30:00.000+03:00,2017,08,320066.71,6666552.352,710,Raasepori,01,Uusimaa,3,Valtatie,25,1,Valtio,47629,Valkohäntäpeura
