"Municipal key figures 1987-2023"

"Aura";"Excess of births, persons";-15
"Aura";"Intermunicipal migration gain/loss, persons";-8
"Aura";"Families";1132
"Aura";"Household-dwelling units";1816
"Aura";"Household-dwelling units living in terraced houses and detached houses, %";94.2
"Aura";"Household-dwelling units living in rental dwellings, %";.
"Aura";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Aura";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Aura";"Economic dependency ratio";.
"Aura";"Workplace self-sufficiency";.
"Aura";"Employed labour force resident in the area";.
"Aura";"Employment rate of persons aged 20 to 64, %";.
"Aura";"Employees working in their municipality of residence, share of employed persons, %";.
"Aura";"Share of unemployed persons in the labour force, %";.
"Aura";"Share of pensioners in the population, %";.
"Aura";"Jobs in the area";.
"Aura";"Share of jobs in primary production, %";.
"Aura";"Share of jobs in secondary production, %";.
"Aura";"Share of jobs in services, %";.
"Brändö";"Population";436
"Brändö";"Population change from the previous year, %";-3.1
"Brändö";"Persons aged under 15, %";8.9
"Brändö";"Persons aged 15 to 64, %";55.5
"Brändö";"Persons aged 64 or over, %";35.6
"Brändö";"Swedish-speaking, %";69.5
"Brändö";"Foreign citizens, %";9.2
"Brändö";"Degree of urbanisation, %";.
"Brändö";"Excess of births, persons";-1
"Brändö";"Intermunicipal migration gain/loss, persons";-13
"Brändö";"Families";111
"Brändö";"Household-dwelling units";220
"Brändö";"Household-dwelling units living in terraced houses and detached houses, %";96.8
"Brändö";"Household-dwelling units living in rental dwellings, %";.
"Brändö";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Brändö";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Brändö";"Economic dependency ratio";.
"Brändö";"Workplace self-sufficiency";.
"Brändö";"Employed labour force resident in the area";.
"Brändö";"Employment rate of persons aged 20 to 64, %";.
"Brändö";"Employees working in their municipality of residence, share of employed persons, %";.
"Brändö";"Share of unemployed persons in the labour force, %";.
"Brändö";"Share of pensioners in the population, %";.
"Brändö";"Jobs in the area";.
"Brändö";"Share of jobs in primary production, %";.
"Brändö";"Share of jobs in secondary production, %";.
"Brändö";"Share of jobs in services, %";.
"Eckerö";"Population";942
"Eckerö";"Population change from the previous year, %";0.3
"Eckerö";"Persons aged under 15, %";13.2
"Eckerö";"Persons aged 15 to 64, %";57.1
"Eckerö";"Persons aged 64 or over, %";29.7
"Eckerö";"Swedish-speaking, %";86.8
"Eckerö";"Foreign citizens, %";13.4
"Eckerö";"Degree of urbanisation, %";.
"Eckerö";"Excess of births, persons";-4
"Eckerö";"Intermunicipal migration gain/loss, persons";-4
"Eckerö";"Families";268
"Eckerö";"Household-dwelling units";454
"Eckerö";"Household-dwelling units living in terraced houses and detached houses, %";94.3
"Eckerö";"Household-dwelling units living in rental dwellings, %";.
"Eckerö";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Eckerö";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Eckerö";"Economic dependency ratio";.
"Eckerö";"Workplace self-sufficiency";.
"Eckerö";"Employed labour force resident in the area";.
"Eckerö";"Employment rate of persons aged 20 to 64, %";.
"Eckerö";"Employees working in their municipality of residence, share of employed persons, %";.
"Eckerö";"Share of unemployed persons in the labour force, %";.
"Eckerö";"Share of pensioners in the population, %";.
"Eckerö";"Jobs in the area";.
"Eckerö";"Share of jobs in primary production, %";.
"Eckerö";"Share of jobs in secondary production, %";.
"Eckerö";"Share of jobs in services, %";.
"Enonkoski";"Population";1320
"Enonkoski";"Population change from the previous year, %";-1.6
"Enonkoski";"Persons aged under 15, %";12.4
"Enonkoski";"Persons aged 15 to 64, %";48.3
"Enonkoski";"Persons aged 64 or over, %";39.3
"Enonkoski";"Swedish-speaking, %";0.2
"Enonkoski";"Foreign citizens, %";2.0
"Enonkoski";"Degree of urbanisation, %";.
"Enonkoski";"Excess of births, persons";-15
"Enonkoski";"Intermunicipal migration gain/loss, persons";-12
"Enonkoski";"Families";368
"Enonkoski";"Household-dwelling units";679
"Enonkoski";"Household-dwelling units living in terraced houses and detached houses, %";95.6
"Enonkoski";"Household-dwelling units living in rental dwellings, %";.
"Enonkoski";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Enonkoski";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Enonkoski";"Economic dependency ratio";.
"Enonkoski";"Workplace self-sufficiency";.
"Enonkoski";"Employed labour force resident in the area";.
"Enonkoski";"Employment rate of persons aged 20 to 64, %";.
"Enonkoski";"Employees working in their municipality of residence, share of employed persons, %";.
"Enonkoski";"Share of unemployed persons in the labour force, %";.
"Enonkoski";"Share of pensioners in the population, %";.
"Enonkoski";"Jobs in the area";.
"Enonkoski";"Share of jobs in primary production, %";.
"Enonkoski";"Share of jobs in secondary production, %";.
"Enonkoski";"Share of jobs in services, %";.
"Enontekiö";"Population";1771
"Enontekiö";"Population change from the previous year, %";-2.2
"Enontekiö";"Persons aged under 15, %";11.7
"Enontekiö";"Persons aged 15 to 64, %";56.7
"Enontekiö";"Persons aged 64 or over, %";31.6
"Enontekiö";"Swedish-speaking, %";0.8
"Enontekiö";"Foreign citizens, %";3.1
"Enontekiö";"Degree of urbanisation, %";.
"Enontekiö";"Excess of births, persons";-13
"Enontekiö";"Intermunicipal migration gain/loss, persons";-25
"Enontekiö";"Families";447
"Enontekiö";"Household-dwelling units";836
"Enontekiö";"Household-dwelling units living in terraced houses and detached houses, %";96.3
"Enontekiö";"Household-dwelling units living in rental dwellings, %";.
"Enontekiö";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Enontekiö";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Enontekiö";"Economic dependency ratio";.
"Enontekiö";"Workplace self-sufficiency";.
"Enontekiö";"Employed labour force resident in the area";.
"Enontekiö";"Employment rate of persons aged 20 to 64, %";.
"Enontekiö";"Employees working in their municipality of residence, share of employed persons, %";.
"Enontekiö";"Share of unemployed persons in the labour force, %";.
"Enontekiö";"Share of pensioners in the population, %";.
"Enontekiö";"Jobs in the area";.
"Enontekiö";"Share of jobs in primary production, %";.
"Enontekiö";"Share of jobs in secondary production, %";.
"Enontekiö";"Share of jobs in services, %";.
"Espoo";"Population";314024
"Espoo";"Population change from the previous year, %";2.9
"Espoo";"Persons aged under 15, %";17.7
"Espoo";"Persons aged 15 to 64, %";67.1
"Espoo";"Persons aged 64 or over, %";15.1
"Espoo";"Swedish-speaking, %";6.4
"Espoo";"Foreign citizens, %";15.7
"Espoo";"Degree of urbanisation, %";.
"Espoo";"Excess of births, persons";1430
"Espoo";"Intermunicipal migration gain/loss, persons";2396
"Espoo";"Families";82947
"Espoo";"Household-dwelling units";145341
"Espoo";"Household-dwelling units living in terraced houses and detached houses, %";36.8
"Espoo";"Household-dwelling units living in rental dwellings, %";.
"Espoo";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Espoo";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Espoo";"Economic dependency ratio";.
"Espoo";"Workplace self-sufficiency";.
"Espoo";"Employed labour force resident in the area";.
"Espoo";"Employment rate of persons aged 20 to 64, %";.
"Espoo";"Employees working in their municipality of residence, share of employed persons, %";.
"Espoo";"Share of unemployed persons in the labour force, %";.
"Espoo";"Share of pensioners in the population, %";.
"Espoo";"Jobs in the area";.
"Espoo";"Share of jobs in primary production, %";.
"Espoo";"Share of jobs in secondary production, %";.
"Espoo";"Share of jobs in services, %";.
"Eura";"Population";11184
"Eura";"Population change from the previous year, %";-0.8
"Eura";"Persons aged under 15, %";14.4
"Eura";"Persons aged 15 to 64, %";56.1
"Eura";"Persons aged 64 or over, %";29.6
"Eura";"Swedish-speaking, %";0.1
"Eura";"Foreign citizens, %";3.8
"Eura";"Degree of urbanisation, %";.
"Eura";"Excess of births, persons";-93
"Eura";"Intermunicipal migration gain/loss, persons";-58
"Eura";"Families";3138
"Eura";"Household-dwelling units";5543
"Eura";"Household-dwelling units living in terraced houses and detached houses, %";86.8
"Eura";"Household-dwelling units living in rental dwellings, %";.
"Eura";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Eura";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Eura";"Economic dependency ratio";.
"Eura";"Workplace self-sufficiency";.
"Eura";"Employed labour force resident in the area";.
"Eura";"Employment rate of persons aged 20 to 64, %";.
"Eura";"Employees working in their municipality of residence, share of employed persons, %";.
"Eura";"Share of unemployed persons in the labour force, %";.
"Eura";"Share of pensioners in the population, %";.
"Eura";"Jobs in the area";.
"Eura";"Share of jobs in primary production, %";.
"Eura";"Share of jobs in secondary production, %";.
"Eura";"Share of jobs in services, %";.
"Eurajoki";"Population";9143
"Eurajoki";"Population change from the previous year, %";-0.7
"Eurajoki";"Persons aged under 15, %";15.8
"Eurajoki";"Persons aged 15 to 64, %";57.1
"Eurajoki";"Persons aged 64 or over, %";27.1
"Eurajoki";"Swedish-speaking, %";0.3
"Eurajoki";"Foreign citizens, %";3.3
"Eurajoki";"Degree of urbanisation, %";.
"Eurajoki";"Excess of births, persons";-55
"Eurajoki";"Intermunicipal migration gain/loss, persons";-34
"Eurajoki";"Families";2680
"Eurajoki";"Household-dwelling units";4102
"Eurajoki";"Household-dwelling units living in terraced houses and detached houses, %";93.8
"Eurajoki";"Household-dwelling units living in rental dwellings, %";.
"Eurajoki";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Eurajoki";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Eurajoki";"Economic dependency ratio";.
"Eurajoki";"Workplace self-sufficiency";.
"Eurajoki";"Employed labour force resident in the area";.
"Eurajoki";"Employment rate of persons aged 20 to 64, %";.
"Eurajoki";"Employees working in their municipality of residence, share of employed persons, %";.
"Eurajoki";"Share of unemployed persons in the labour force, %";.
"Eurajoki";"Share of pensioners in the population, %";.
"Eurajoki";"Jobs in the area";.
"Eurajoki";"Share of jobs in primary production, %";.
"Eurajoki";"Share of jobs in secondary production, %";.
"Eurajoki";"Share of jobs in services, %";.
"Evijärvi";"Population";2292
"Evijärvi";"Population change from the previous year, %";-2.3
"Evijärvi";"Persons aged under 15, %";15.7
"Evijärvi";"Persons aged 15 to 64, %";53.4
"Evijärvi";"Persons aged 64 or over, %";31.0
"Evijärvi";"Swedish-speaking, %";2.1
"Evijärvi";"Foreign citizens, %";3.6
"Evijärvi";"Degree of urbanisation, %";.
"Evijärvi";"Excess of births, persons";-25
"Evijärvi";"Intermunicipal migration gain/loss, persons";-40
"Evijärvi";"Families";648
"Evijärvi";"Household-dwelling units";1064
"Evijärvi";"Household-dwelling units living in terraced houses and detached houses, %";96.3
"Evijärvi";"Household-dwelling units living in rental dwellings, %";.
"Evijärvi";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Evijärvi";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Evijärvi";"Economic dependency ratio";.
"Evijärvi";"Workplace self-sufficiency";.
"Evijärvi";"Employed labour force resident in the area";.
"Evijärvi";"Employment rate of persons aged 20 to 64, %";.
"Evijärvi";"Employees working in their municipality of residence, share of employed persons, %";.
"Evijärvi";"Share of unemployed persons in the labour force, %";.
"Evijärvi";"Share of pensioners in the population, %";.
"Evijärvi";"Jobs in the area";.
"Evijärvi";"Share of jobs in primary production, %";.
"Evijärvi";"Share of jobs in secondary production, %";.
"Evijärvi";"Share of jobs in services, %";.
"Finström";"Population";2610
"Finström";"Population change from the previous year, %";0.9
"Finström";"Persons aged under 15, %";16.9
"Finström";"Persons aged 15 to 64, %";60.0
"Finström";"Persons aged 64 or over, %";23.1
"Finström";"Swedish-speaking, %";90.1
"Finström";"Foreign citizens, %";10.8
"Finström";"Degree of urbanisation, %";.
"Finström";"Excess of births, persons";16
"Finström";"Intermunicipal migration gain/loss, persons";-9
"Finström";"Families";749
"Finström";"Household-dwelling units";1161
"Finström";"Household-dwelling units living in terraced houses and detached houses, %";91.0
"Finström";"Household-dwelling units living in rental dwellings, %";.
"Finström";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Finström";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Finström";"Economic dependency ratio";.
"Finström";"Workplace self-sufficiency";.
"Finström";"Employed labour force resident in the area";.
"Finström";"Employment rate of persons aged 20 to 64, %";.
"Finström";"Employees working in their municipality of residence, share of employed persons, %";.
"Finström";"Share of unemployed persons in the labour force, %";.
"Finström";"Share of pensioners in the population, %";.
"Finström";"Jobs in the area";.
"Finström";"Share of jobs in primary production, %";.
"Finström";"Share of jobs in secondary production, %";.
"Finström";"Share of jobs in services, %";.
"Forssa";"Population";16469
"Forssa";"Population change from the previous year, %";0.1
"Forssa";"Persons aged under 15, %";11.2
"Forssa";"Persons aged 15 to 64, %";55.7
"Forssa";"Persons aged 64 or over, %";33.1
"Forssa";"Swedish-speaking, %";0.3
"Forssa";"Foreign citizens, %";6.2
"Forssa";"Degree of urbanisation, %";.
"Forssa";"Excess of births, persons";-187
"Forssa";"Intermunicipal migration gain/loss, persons";-93
"Forssa";"Families";4185
"Forssa";"Household-dwelling units";9264
"Forssa";"Household-dwelling units living in terraced houses and detached houses, %";45.0
"Forssa";"Household-dwelling units living in rental dwellings, %";.
"Forssa";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Forssa";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Forssa";"Economic dependency ratio";.
"Forssa";"Workplace self-sufficiency";.
"Forssa";"Employed labour force resident in the area";.
"Forssa";"Employment rate of persons aged 20 to 64, %";.
"Forssa";"Employees working in their municipality of residence, share of employed persons, %";.
"Forssa";"Share of unemployed persons in the labour force, %";.
"Forssa";"Share of pensioners in the population, %";.
"Forssa";"Jobs in the area";.
"Forssa";"Share of jobs in primary production, %";.
"Forssa";"Share of jobs in secondary production, %";.
"Forssa";"Share of jobs in services, %";.
"Föglö";"Population";509
"Föglö";"Population change from the previous year, %";1.0
"Föglö";"Persons aged under 15, %";15.1
"Föglö";"Persons aged 15 to 64, %";53.0
"Föglö";"Persons aged 64 or over, %";31.8
"Föglö";"Swedish-speaking, %";82.3
"Föglö";"Foreign citizens, %";22.2
"Föglö";"Degree of urbanisation, %";.
"Föglö";"Excess of births, persons";-6
"Föglö";"Intermunicipal migration gain/loss, persons";0
"Föglö";"Families";124
"Föglö";"Household-dwelling units";240
"Föglö";"Household-dwelling units living in terraced houses and detached houses, %";91.7
"Föglö";"Household-dwelling units living in rental dwellings, %";.
"Föglö";"Share of persons aged 15 or over with at least upper secondary qualifications, %";.
"Föglö";"Persons with tertiary level qualifications, share of persons aged 15 or over, %";.
"Föglö";"Economic dependency ratio";.
"Föglö";"Workplace self-sufficiency";.
"Föglö";"Employed labour force resident in the area";.
"Föglö";"Employment rate of persons aged 20 to 64, %";.
"Föglö";"Employees working in their municipality of residence, share of employed persons, %";.
"Föglö";"Share of unemployed persons in the labour force, %";.
"Föglö";"Share of pensioners in the population, %";.
"Föglö";"Jobs in the area";.
"Föglö";"Share of jobs in primary production, %";.
